"ProjectID","OrganizationID","ProjectName","ProjectCommonName","OperatingStartDate","OperatingEndDate","ContinuumProject","ProjectType","HousingType","RRHSubType","ResidentialAffiliation","TargetPopulation","HOPWAMedAssistedLivingFac","PITCount","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"109","6","Organization B - TH","Org B - TH",2001-08-17,,1,2,1,,,4,2,,2001-08-17 11:05:15,2019-03-18 16:23:47,"23",,"1036"
"389","96","Organization O - TH","Org O - TH",2002-05-02,,1,2,1,,,4,2,,2002-05-02 15:24:10,2018-10-12 11:16:01,"23",,"1036"
"486","4","Organization A - ES","Org A - ES",2003-08-03,,1,0,1,,,4,2,,2003-08-03 16:44:07,2018-10-12 11:19:09,"23",,"1036"
"608","6","Organization B - TH - 2","Org B - TH - 2",2005-06-30,,1,2,1,,,4,2,,2005-06-30 14:54:54,2018-10-12 11:23:13,"23",,"1036"
"632","4","Organization A - PSH","Org A - PSH",2005-10-11,,1,3,2,,,4,2,,2005-10-11 10:11:17,2021-12-07 12:56:47,"27",,"1036"
"877","4","Organization A - ES - 2","Org A - ES - 2",2010-08-13,,1,0,1,,,4,2,,2010-08-13 15:41:16,2018-10-12 11:46:36,"23",,"1036"
"1060","96","Organization O - RRH","Org O - RRH",2013-02-08,,1,13,3,2,,4,2,,2013-02-08 09:57:21,2018-10-12 11:37:07,"23",,"1036"
"1146","96","Organization O - HP","Org O - HP",2018-08-17,,1,12,,,,4,2,,2014-06-06 11:16:22,2020-04-03 09:04:24,"24",,"1036"
"1177","4","Organization A - HP","Org A - HP",2014-09-29,,1,12,,,,4,2,,2014-09-29 09:29:04,2021-04-29 07:48:41,"18",,"1036"
"1236","6","Organization B - PSH","Org B - PSH",2015-07-20,,1,3,1,,,4,2,,2015-07-20 10:50:36,2021-11-30 17:39:25,"27",,"1036"
"1332","6","Organization B - HP","Org B - HP",2016-09-29,,1,12,,,,4,2,,2016-09-29 08:45:17,2021-04-29 07:50:17,"18",,"1036"
"1351","96","Organization O - RRH - 2","Org O - RRH - 2",2017-02-02,,1,13,3,2,,4,2,,2017-02-02 10:57:14,2021-12-03 10:49:23,"23",,"1036"
"1377","4","Organization A - RRH","Org A - RRH",2017-05-08,,1,13,3,2,,4,2,,2017-05-08 14:10:59,2019-03-19 11:57:04,"23",,"1036"
"1396","96","Organization O - ES","Org O - ES",2017-10-01,,1,0,1,,,4,2,,2017-10-12 13:16:46,2019-03-19 11:56:20,"23",,"1036"
"1397","6","Organization B - PSH - 2","Org B - PSH - 2",2017-10-01,,1,3,1,,,4,2,,2017-10-12 13:20:39,2021-11-30 17:44:12,"27",,"1036"
"1418","96","Organization O - RRH - 3","Org O - RRH - 3",2018-01-01,,1,13,3,2,,4,2,,2018-01-04 15:36:29,2020-06-23 11:40:31,"23",,"1036"
"1435","96","Organization O - PSH","Org O - PSH",2018-04-17,,1,3,2,,,4,2,,2018-04-17 14:00:16,2021-05-05 16:48:48,"23",,"1036"
"1451","96","Organization O - TH - 2","Org O - TH - 2",2018-10-01,2020-09-30,1,2,1,,,4,2,,2018-09-11 13:10:57,2021-05-03 13:08:30,"18",,"1036"
"1492","4","Organization A - RRH - 2","Org A - RRH - 2",2019-06-10,,1,13,,1,,4,2,,2019-06-10 07:32:23,2021-12-09 17:39:39,"27",,"1036"
"1551","6","Organization B - SO","Org B - SO",2020-03-01,,1,4,,,,4,2,,2020-07-15 13:10:35,2020-10-22 19:18:27,"23",,"1036"
"1555","4","Organization A - HP - 2","Org A - HP - 2",2020-03-01,,1,12,,,,4,2,,2020-07-16 13:21:45,2020-10-19 09:50:25,"23",,"1036"
"1579","96","Organization O - SO","Org O - SO",2020-03-01,,1,4,,,,4,2,,2020-07-27 10:44:00,2020-10-19 09:51:48,"23",,"1036"
"1606","4","Organization A - RRH - 3","Org A - RRH - 3",2020-03-01,,1,13,3,,,4,2,,2020-09-28 09:54:25,2020-10-19 09:55:44,"23",,"1036"
"1615","96","Organization O - SSO","Org O - SSO",2020-11-09,,1,6,,,0,4,2,,2020-11-09 08:46:42,2022-09-26 12:34:59,"18",,"1036"
"1647","4","Organization A - SO","Org A - SO",2021-04-27,,1,4,,,,4,2,,2021-04-27 10:05:46,2021-04-27 11:25:52,"18",,"1036"
"1732","96","Organization O - RRH - 4","Org O - RRH - 4",2022-06-01,,1,13,3,2,,4,2,,2022-06-01 09:52:20,2022-09-26 12:52:22,"18",,"1036"
"999999","4","Test NbN Project",,2024-04-27,,1,1,,,,,,,2021-04-27 14:05:00,2021-04-27 15:25:00,"18",,"1036"
